n;array_size;time_elapsed;time
1;1000;931.1556816101074;07/04/2023 20:12:19
1;1000;893.1827545166016;07/04/2023 20:12:20
1;1000;953.1548023223877;07/04/2023 20:12:22
1;1000;942.1463012695312;07/04/2023 20:12:24
1;1000;888.181209564209;07/04/2023 20:12:26
2;1000;1923.9907264709473;07/04/2023 20:12:29
2;1000;1898.3254432678223;07/04/2023 20:12:32
2;1000;1971.3637828826904;07/04/2023 20:12:35
2;1000;1884.3519687652588;07/04/2023 20:12:38
2;1000;1909.280776977539;07/04/2023 20:12:40
4;1000;3111.534595489502;07/04/2023 20:12:44
4;1000;3031.384229660034;07/04/2023 20:12:48
4;1000;3030.4415225982666;07/04/2023 20:12:52
4;1000;3060.5409145355225;07/04/2023 20:12:56
4;1000;3047.3544597625732;07/04/2023 20:13:00
8;1000;4721.061229705811;07/04/2023 20:13:06
8;1000;4896.601676940918;07/04/2023 20:13:12
8;1000;4781.057119369507;07/04/2023 20:13:18
8;1000;4731.594085693359;07/04/2023 20:13:23
8;1000;4750.452995300293;07/04/2023 20:13:29
16;1000;7665.769577026367;07/04/2023 20:13:38
16;1000;7702.028512954712;07/04/2023 20:13:46
16;1000;7739.062786102295;07/04/2023 20:13:55
16;1000;7913.795471191406;07/04/2023 20:14:04
16;1000;7680.544853210449;07/04/2023 20:14:13
32;1000;13594.010353088379;07/04/2023 20:14:27
32;1000;13379.296779632568;07/04/2023 20:14:42
32;1000;13352.706670761108;07/04/2023 20:14:56
32;1000;13240.62967300415;07/04/2023 20:15:10
32;1000;13288.694620132446;07/04/2023 20:15:24
