n_threads;array_size;time_elapsed;time
1;10000;2.0012855529785156;02/04/2023 17:12:27
1;10000;1.0006427764892578;02/04/2023 17:12:28
1;10000;0.9999275207519531;02/04/2023 17:12:29
1;10000;2.000093460083008;02/04/2023 17:12:30
1;10000;1.0008811950683594;02/04/2023 17:12:30
2;10000;3.0012130737304688;02/04/2023 17:12:33
2;10000;3.0002593994140625;02/04/2023 17:12:34
2;10000;3.000497817993164;02/04/2023 17:12:35
2;10000;3.000497817993164;02/04/2023 17:12:35
2;10000;3.0002593994140625;02/04/2023 17:12:37
4;10000;6.000757217407227;02/04/2023 17:12:39
4;10000;6.00123405456543;02/04/2023 17:12:40
4;10000;6.000757217407227;02/04/2023 17:12:41
4;10000;6.001472473144531;02/04/2023 17:12:41
4;10000;6.000995635986328;02/04/2023 17:12:42
8;10000;8.001327514648438;02/04/2023 17:12:44
8;10000;8.001565933227539;02/04/2023 17:12:45
8;10000;7.0018768310546875;02/04/2023 17:12:45
8;10000;7.001161575317383;02/04/2023 17:12:46
8;10000;7.001399993896484;02/04/2023 17:12:47
16;10000;11.002302169799805;02/04/2023 17:12:48
16;10000;12.002229690551758;02/04/2023 17:12:49
16;10000;12.001991271972656;02/04/2023 17:12:50
16;10000;11.002063751220703;02/04/2023 17:12:50
16;10000;10.999917984008789;02/04/2023 17:12:51
32;10000;17.003297805786133;02/04/2023 17:16:34
32;10000;16.00360870361328;02/04/2023 17:16:36
32;10000;17.003297805786133;02/04/2023 17:16:38
32;10000;16.003847122192383;02/04/2023 17:16:38
32;10000;17.003774642944336;02/04/2023 17:16:39
10;10000;9.001493453979492;02/04/2023 17:16:49
10;10000;10.002374649047852;02/04/2023 17:16:50
10;10000;9.001970291137695;02/04/2023 17:16:50
10;10000;9.003162384033203;02/04/2023 17:16:51
10;10000;9.001970291137695;02/04/2023 17:16:52
10;10000;10.002374649047852;02/04/2023 17:19:06
10;10000;9.002208709716797;02/04/2023 17:23:32
10;10000;10.001897811889648;02/04/2023 17:23:36
