n;array_size;time_elapsed;time
1;1000;44.9979305267334;07/04/2023 21:16:17
1;1000;44.996023178100586;07/04/2023 21:16:18
1;1000;42.99616813659668;07/04/2023 21:16:20
1;1000;42.99664497375488;07/04/2023 21:16:21
1;1000;41.994571685791016;07/04/2023 21:16:22
2;1000;20.998001098632812;07/04/2023 21:16:23
2;1000;20.99752426147461;07/04/2023 21:16:25
2;1000;20.99776268005371;07/04/2023 21:16:26
2;1000;21.00205421447754;07/04/2023 21:16:27
2;1000;20.9958553314209;07/04/2023 21:16:28
4;1000;11.999368667602539;07/04/2023 21:16:30
4;1000;10.997533798217773;07/04/2023 21:16:31
4;1000;11.001110076904297;07/04/2023 21:16:32
4;1000;11.998891830444336;07/04/2023 21:16:34
4;1000;12.002944946289062;07/04/2023 21:16:35
8;1000;8.999824523925781;07/04/2023 21:16:36
8;1000;9.002923965454102;07/04/2023 21:16:37
8;1000;9.001016616821289;07/04/2023 21:16:39
8;1000;9.000062942504883;07/04/2023 21:16:40
8;1000;8.999347686767578;07/04/2023 21:16:41
16;1000;9.00125503540039;07/04/2023 21:16:42
16;1000;11.004924774169922;07/04/2023 21:16:44
16;1000;9.003400802612305;07/04/2023 21:16:45
16;1000;9.007453918457031;07/04/2023 21:16:46
16;1000;9.000301361083984;07/04/2023 21:16:47
32;1000;13.997077941894531;07/04/2023 21:16:49
32;1000;13.994455337524414;07/04/2023 21:16:50
32;1000;13.004064559936523;07/04/2023 21:16:51
32;1000;13.99850845336914;07/04/2023 21:16:52
32;1000;13.004064559936523;07/04/2023 21:16:54
