n;array_size;time_elapsed;time
1;1000;0.9996891021728516;07/04/2023 21:11:24
1;1000;0.9970664978027344;07/04/2023 21:11:25
1;1000;0.0;07/04/2023 21:11:27
1;1000;1.0035037994384766;07/04/2023 21:11:28
1;1000;1.0013580322265625;07/04/2023 21:11:29
2;1000;1.0099411010742188;07/04/2023 21:11:31
2;1000;0.9965896606445312;07/04/2023 21:11:32
2;1000;0.9949207305908203;07/04/2023 21:11:33
2;1000;1.0004043579101562;07/04/2023 21:11:35
2;1000;1.0042190551757812;07/04/2023 21:11:36
4;1000;1.9955635070800781;07/04/2023 21:11:37
4;1000;1.9953250885009766;07/04/2023 21:11:39
4;1000;1.9977092742919922;07/04/2023 21:11:40
4;1000;1.9984245300292969;07/04/2023 21:11:41
4;1000;2.000093460083008;07/04/2023 21:11:42
8;1000;2.998828887939453;07/04/2023 21:11:44
8;1000;4.001617431640625;07/04/2023 21:11:45
8;1000;2.9976367950439453;07/04/2023 21:11:46
8;1000;2.997875213623047;07/04/2023 21:11:48
8;1000;4.002094268798828;07/04/2023 21:11:49
16;1000;7.000446319580078;07/04/2023 21:11:50
16;1000;9.99760627746582;07/04/2023 21:11:52
16;1000;6.996631622314453;07/04/2023 21:11:53
16;1000;7.997274398803711;07/04/2023 21:11:55
16;1000;6.99615478515625;07/04/2023 21:11:56
32;1000;11.999130249023438;07/04/2023 21:11:57
32;1000;13.997793197631836;07/04/2023 21:11:59
32;1000;12.990474700927734;07/04/2023 21:12:00
32;1000;12.99738883972168;07/04/2023 21:12:01
32;1000;13.998031616210938;07/04/2023 21:12:03
1;1000000;330.0001621246338;07/04/2023 22:37:53
1;1000000;341.0000801086426;07/04/2023 22:37:55
1;1000000;348.003625869751;07/04/2023 22:37:58
1;1000000;321.0029602050781;07/04/2023 22:38:00
1;1000000;315.0322437286377;07/04/2023 22:38:02
2;1000000;539.1077995300293;07/04/2023 22:38:05
2;1000000;544.0146923065186;07/04/2023 22:38:07
2;1000000;549.0009784698486;07/04/2023 22:38:10
2;1000000;600.999116897583;07/04/2023 22:38:13
2;1000000;571.8691349029541;07/04/2023 22:38:15
4;1000000;763.9963626861572;07/04/2023 22:38:18
4;1000000;758.5225105285645;07/04/2023 22:38:21
4;1000000;763.0047798156738;07/04/2023 22:38:24
4;1000000;875.0076293945312;07/04/2023 22:38:26
4;1000000;802.0074367523193;07/04/2023 22:38:29
8;1000000;1073.051929473877;07/04/2023 22:38:33
8;1000000;1136.5852355957031;07/04/2023 22:38:36
8;1000000;1151.4651775360107;07/04/2023 22:38:40
8;1000000;1028.0001163482666;07/04/2023 22:38:43
8;1000000;1124.608039855957;07/04/2023 22:38:47
16;1000000;1279.987096786499;07/04/2023 22:38:50
16;1000000;1236.9990348815918;07/04/2023 22:38:54
16;1000000;1257.0109367370605;07/04/2023 22:38:57
16;1000000;1251.9986629486084;07/04/2023 22:39:01
16;1000000;1299.9162673950195;07/04/2023 22:39:04
32;1000000;1546.9999313354492;07/04/2023 22:39:08
32;1000000;1472.689151763916;07/04/2023 22:39:11
32;1000000;1505.5394172668457;07/04/2023 22:39:15
32;1000000;1475.999355316162;07/04/2023 22:39:19
32;1000000;1402.148962020874;07/04/2023 22:39:22
1;100000;22.99666404724121;07/04/2023 22:43:36
1;100000;20.973682403564453;07/04/2023 22:43:37
1;100000;20.003080368041992;07/04/2023 22:43:39
1;100000;18.513917922973633;07/04/2023 22:43:40
1;100000;17.998695373535156;07/04/2023 22:43:42
2;100000;42.99807548522949;07/04/2023 22:43:43
2;100000;41.0153865814209;07/04/2023 22:43:45
2;100000;39.99805450439453;07/04/2023 22:43:46
2;100000;66.9410228729248;07/04/2023 22:43:49
2;100000;48.99477958679199;07/04/2023 22:43:51
4;100000;61.12313270568848;07/04/2023 22:43:53
4;100000;59.9970817565918;07/04/2023 22:43:54
4;100000;57.26289749145508;07/04/2023 22:43:56
4;100000;62.995195388793945;07/04/2023 22:43:57
4;100000;67.00277328491211;07/04/2023 22:43:59
8;100000;93.98341178894043;07/04/2023 22:44:00
8;100000;78.00984382629395;07/04/2023 22:44:02
8;100000;75.57058334350586;07/04/2023 22:44:04
8;100000;88.9897346496582;07/04/2023 22:44:05
8;100000;78.86672019958496;07/04/2023 22:44:07
16;100000;97.06449508666992;07/04/2023 22:44:08
